Cell_id	Site01	Site02	Site03
step9_NP_hit8gicey5zr7mbaajge_cell18	R-17	R-5	R-2
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell31	R-17	R-5	R-39
step9_VE_iblms369zydmqt8amgrd_cell10	R-17	R-5	R-39
step9_NP_vlugemo4cu261xpcfn4j_cell19	R-17	R-8	R-15
step9_RM_lzbkx581plse8iq6ldpb_cell7	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell51	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell38	R-17	R-5	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell15	R-17	R-5	R-29
step9_VE_dt1zyooaebih7jfyog3r_cell21	R-17	R-16	R-2
step9_VE_dt1zyooaebih7jfyog3r_cell36	R-17	R-16	R-2
step9_VE_dt1zyooaebih7jfyog3r_cell19	R-17	R-16	R-2
step9_NP_vlugemo4cu261xpcfn4j_cell31	R-17	R-16	R-2
step9_SE_4px85t8ebc9pblit7nfo_cell16	R-17	R-5	R-39
step9_PM_kpdnxg85a5qombh983pv_cell26	R-17	R-5	R-39
step9_RM_s7yljlsdcjgpltg9vsbz_cell21	R-17	R-8	R-3
step9_Node_o8nez1z564u4bgkfoi8m_cell18	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell48	R-17	R-8	R-3
step9_CMy_2ydwxvzgpsvtg3p4gs1m_cell2	R-17	R-8	R-3
step9_Al_z54k2mn1kspqdfxi1pdr_cell10	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell1	R-17	R-5	R-39
step9_Foregut1_9gaulrk46n65yqmvzw8y_cell3	R-17	R-5	R-39
step9_Ery2_wkuorw7cjueod1jo39ov_cell3	R-17	R-5	R-39
step9_Al_yorklxqdhms66yfz43ce_cell49	R-17	R-5	R-39
step9_ExEc_28yb9pgez73wp6bfoxpp_cell28	R-17	R-46	R-2
step9_ExEc_wsgftfkniik728dyrozi_cell17	R-17	R-46	R-2
